Date,Quantity
3/7/2021,815
3/7/2021,1810
3/7/2021,833
2/28/2021,7976
2/28/2021,3615
2/28/2021,3373
2/28/2021,144
2/28/2021,3220
2/21/2021,4500
2/21/2021,69
2/21/2021,80
2/21/2021,341
2/21/2021,917
2/14/2021,1159
2/14/2021,1656
2/14/2021,145
2/14/2021,1006
2/14/2021,922
2/7/2021,688
2/7/2021,469
2/7/2021,321
2/7/2021,1954
2/7/2021,2314
1/31/2021,909
1/31/2021,222
1/31/2021,3007
1/31/2021,1133
1/31/2021,6248
1/24/2021,136
1/24/2021,4408
1/24/2021,10187
1/24/2021,236
1/24/2021,11608
1/17/2021,5830
1/17/2021,858
1/17/2021,1184
1/17/2021,2245
1/17/2021,1054
1/10/2021,816
1/17/2021,180
1/10/2021,112
1/10/2021,616
1/10/2021,290
1/10/2021,2153
1/3/2021,3165
1/10/2021,6
1/3/2021,365
1/3/2021,896
1/3/2021,4340
1/3/2021,1384
12/27/2020,856
12/27/2020,3750
12/20/2020,34
12/20/2020,63
12/20/2020,2798
12/20/2020,1614
12/20/2020,1373
12/20/2020,24
12/13/2020,122
12/6/2020,1
12/13/2020,1318
12/13/2020,803
12/13/2020,1327
12/13/2020,1229
12/6/2020,324
12/13/2020,4261
12/6/2020,3796
12/6/2020,82
12/6/2020,1380
12/13/2020,1
12/6/2020,853
12/6/2020,1426
11/29/2020,8261
12/6/2020,240
11/29/2020,119
11/29/2020,4185
11/29/2020,549
11/29/2020,82
11/22/2020,0
11/22/2020,110
11/22/2020,284
11/22/2020,210
11/22/2020,2952
11/15/2020,1743
11/15/2020,958
11/22/2020,828
11/15/2020,105
11/15/2020,540
11/15/2020,833
11/8/2020,1002
11/15/2020,1
11/8/2020,96
11/8/2020,144
11/8/2020,2720
11/8/2020,1334
11/8/2020,828
11/1/2020,17607
11/8/2020,85
11/1/2020,1116
11/1/2020,87
11/1/2020,4932
11/1/2020,132
10/25/2020,68
10/25/2020,51
10/25/2020,43
10/25/2020,475
10/25/2020,1570
10/18/2020,1492
10/18/2020,250
10/18/2020,716
10/18/2020,530
10/18/2020,1101
10/11/2020,1341
10/18/2020,180
10/11/2020,1955
10/11/2020,247
10/11/2020,78
10/11/2020,243
10/4/2020,1187
10/4/2020,86
10/4/2020,48
10/4/2020,35
10/4/2020,181
9/27/2020,2943
9/27/2020,33
9/27/2020,50
9/27/2020,126
9/27/2020,2126
9/20/2020,1061
9/20/2020,51
9/20/2020,1995
9/20/2020,2427
9/20/2020,4294
9/13/2020,3902
9/20/2020,2
9/13/2020,2345
9/13/2020,1260
9/13/2020,636
9/13/2020,4706
9/6/2020,84
9/6/2020,382
9/6/2020,1391
9/6/2020,362
8/30/2020,598
8/30/2020,58
9/6/2020,1
8/30/2020,52
8/30/2020,2856
8/30/2020,2749
8/23/2020,52
8/23/2020,62
8/23/2020,66
8/23/2020,9908
8/23/2020,9933
8/16/2020,2537
8/16/2020,91
8/16/2020,72
8/16/2020,216
8/16/2020,325
8/9/2020,93
8/9/2020,106
8/9/2020,89
8/9/2020,770
8/9/2020,1571
8/2/2020,3158
8/2/2020,2120
8/2/2020,2561
8/2/2020,510
8/2/2020,19
7/26/2020,-1
7/26/2020,54
7/26/2020,31
7/26/2020,7
7/26/2020,8
7/26/2020,20
7/19/2020,6
7/19/2020,14
7/19/2020,222
7/19/2020,323
7/19/2020,24
7/12/2020,180
7/12/2020,85
7/12/2020,2773
7/12/2020,1033
7/12/2020,896
7/5/2020,111
7/5/2020,292
7/5/2020,387
7/5/2020,922
7/5/2020,689
6/28/2020,3069
6/28/2020,4825
6/28/2020,6931
6/28/2020,1705
6/21/2020,4783
6/21/2020,3022
6/21/2020,2157
6/21/2020,2533
6/21/2020,4392
6/14/2020,3654
6/14/2020,629
6/21/2020,0
6/14/2020,4141
6/14/2020,5461
6/14/2020,4558
6/7/2020,2037
6/7/2020,108
6/14/2020,2
6/7/2020,7
6/7/2020,57
5/31/2020,1
6/7/2020,19
5/31/2020,47
5/31/2020,13
5/31/2020,24
5/31/2020,15
5/31/2020,118
5/24/2020,48
5/24/2020,46
5/24/2020,1245
5/24/2020,4045
5/17/2020,15102
5/24/2020,756
5/17/2020,10956
5/17/2020,5918
5/17/2020,95
5/17/2020,283
5/10/2020,12
5/10/2020,5
5/10/2020,457
5/10/2020,193
5/3/2020,3
5/3/2020,2
5/3/2020,5
5/3/2020,2
4/26/2020,65
4/26/2020,3
4/26/2020,10
4/19/2020,3
4/19/2020,696
4/19/2020,133
4/12/2020,3277
4/12/2020,984
4/12/2020,1728
4/5/2020,144
4/5/2020,1056
4/5/2020,12
4/5/2020,12
4/5/2020,1249
3/29/2020,4368
3/29/2020,24
3/29/2020,24
3/29/2020,12
3/29/2020,2004
3/22/2020,1668
3/29/2020,312
3/22/2020,12
3/22/2020,348
3/22/2020,4860
3/15/2020,374
3/15/2020,1596
3/15/2020,1656
3/8/2020,3240
3/8/2020,25
3/1/2020,207
3/1/2020,10
3/1/2020,1333
2/23/2020,4224
2/23/2020,168
2/16/2020,132
2/16/2020,120
